match_id,source_match_id,canonical_home_team,canonical_away_team,source_home_team,source_away_team,home_similarity,away_similarity,mean_similarity,runner_up_margin,fixture_kickoff,series_file,reason
c2f01487-4c27-4b80-ba34-83bc7eb15d65,46903184,Udinese Calcio,AC Florenz,Udinese,Fiorentina,100.0,58.82352941176471,79.41176470588235,40.33613445378151,2016-09-21 20:45:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
d4493138-cf2a-44fd-aafe-1f3599dece3a,46903170,FC Empoli,Inter Mailand,Empoli,Inter,100.0,58.82352941176471,79.41176470588235,36.33484162895927,2016-09-21 20:45:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
91116cbf-80bb-4a08-909a-afabadcb0f30,47197762,CA Osasuna,Espanyol Barcelona,Osasuna,Espanyol,87.5,64.0,75.75,34.08333333333333,2016-09-22 20:00:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
baa8a453-72fc-4545-ba2c-f6ec7db8a6dd,47197776,FC Valencia,Deportivo Alavés,Valencia,Alaves,100.0,57.14285714285714,78.57142857142857,27.45580991017097,2016-09-22 22:00:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
7f7cf3d7-ea59-46fe-b40c-4fa01ea165a6,47480929,Borussia Dortmund,SC Freiburg,Dortmund,Freiburg,66.66666666666667,88.88888888888889,77.77777777777777,42.93614881850175,2016-09-23 20:30:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
765a8725-b1ba-47f3-b0f5-77cb82710a25,47776323,1. FSV Mainz 05,Bayer Leverkusen,Mainz,Bayer Leverkusen,62.5,100.0,81.25,46.041666666666664,2016-09-24 15:30:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
d64ca8cb-9d17-4958-888d-36538a7c024b,47776466,Stoke City,West Bromwich Albion,Stoke City,West Brom,100.0,61.53846153846154,80.76923076923077,41.32957559681698,2016-09-24 16:00:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
c67e2c1e-019b-486c-9da2-fe4a97edea20,47777459,Girondins Bordeaux,SM Caen,Bordeaux,Caen,64.0,80.0,72.0,28.25,2016-09-24 20:00:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
da4186fd-bde7-4e5a-bfb9-f61236537512,47777133,FC Lorient,Olympique Lyon,Lorient,Lyon,100.0,47.05882352941176,73.52941176470588,29.481792717086833,2016-09-24 17:00:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
218ac18d-d2f5-47c7-8d25-af63fe5c6622,47777051,Sporting Gijon,FC Barcelona,Gijon,Barcelona,55.55555555555556,100.0,77.77777777777777,37.77777777777777,2016-09-24 16:15:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
619423ae-0340-4f27-b462-6a8c5a58e59b,48081587,Inter Mailand,FC Bologna,Inter,Bologna,58.82352941176471,100.0,79.41176470588235,35.47237076648841,2016-09-25 15:00:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
69a543a5-fe98-4c80-9cda-4a936de41cb4,48082765,AC Florenz,AC Mailand,Fiorentina,AC Milan,58.82352941176471,83.33333333333334,71.07843137254903,24.51972691910774,2016-09-25 20:45:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
7daa308a-fae4-4993-91e9-e4d6207bd211,48082768,Espanyol Barcelona,Celta Vigo,Espanyol,Celta Vigo,64.0,100.0,82.0,37.500821018062396,2016-09-25 20:45:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
4fbca4be-12b9-48f7-90cc-4585c1683715,48385278,Deportivo Alavés,FC Granada,Alaves,Granada CF,57.14285714285714,100.0,78.57142857142857,39.285714285714285,2016-09-26 20:45:00+00:00,odds_series_b.csv.gz,ambiguous_or_below_threshold
